Магазин,Категория,Название,Цена,Цена без скидки,Ссылка,Изображение
Ригла,Дермакосметика,Скорая Помощь подорожник бальзам / ран 35мл,338.0,338.0,https://www.rigla.ru/product/skoraya-pomoshch-podorozhnik-balzamran-35ml-448584,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/448584-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Д-Пантенол крем 5% 50г,131.0,131.0,https://www.rigla.ru/product/d-pantenol-krem-5-50g-103074,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/103074-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Д-Пантенол крем 5% 50г,131.0,131.0,https://www.rigla.ru/product/d-pantenol-krem-5-50g-103074,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/103074-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Зинерит лосьон 30мл,437.0,437.0,https://www.rigla.ru/product/zinerit-por-prigot-r-ra-dlya-nar-prim-v-komplekte-s-rastvoritelem-i-applikatorom-30ml-no1-735,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/7/3/735-5-8-f-1-58f12cebf2c2c8987e4be0a0e54995142e9955d7_735.jpg
Ригла,Дермакосметика,Метилурацил мазь 10% 25г,154.0,154.0,https://www.rigla.ru/product/metiluratsil-maz-10-25g-5006583,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5006583-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,"Синафлан мазь 0,025% 10г",51.0,51.0,https://www.rigla.ru/product/sinaflan-maz-0025-10g-60265,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/6/0/60265-5-e-1-b-5e1b4c9ffd46630c36e0eb549f431bf09e51ad56_60265.jpg
Ригла,Дермакосметика,Декспантенол мазь 5% 25г,156.0,156.0,https://www.rigla.ru/product/dekspantenol-maz-5-25g-104274,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/104274-9-7-e-8-97e815301d87ad172966cd791cf290104632c67a_104274.jpg
Ригла,Дермакосметика,БиСи пантенол пена-устройством детский для ухода за кожей лица и тела ВС аэрозоль баллон 130мл,396.0,396.0,https://www.rigla.ru/product/bisi-pantenol-pena-sprey-detskiy-dlya-ukhoda-za-kozhey-litsa-i-tela-vs-aer-ballon-130ml-4991524,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4991524-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Диклофенак-Акрихин гель 1% 40г,247.0,247.0,https://www.rigla.ru/product/diklofenak-akrikhin-gel-1-40g-47681,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/7/47681-e-f-9-5-ef95afce23f801795c7077e85c8a503fe85a71b8_47681.jpg
Ригла,Дермакосметика,Цикадерма мазь гомеоп. 30г,428.0,428.0,https://www.rigla.ru/product/tsikaderma-maz-gomeop-30g-37334,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/7/37334-4-5-8-0-45809aff06c5b7e350dfc542a2a2489c4d224563_37334.jpg
Ригла,Дермакосметика,"Олеос Суперчистотел косметич. жидкий 1,2мл № 1",90.0,90.0,https://www.rigla.ru/product/oleos-superchistotel-kosmetich-zhidk-12ml-no1-117570,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/117570-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Формидрон раствор для наружного применения 50мл,71.5,71.5,https://www.rigla.ru/product/formidron-r-r-dnaruzhprim-50ml-60012,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/6/0/60012-e-d-0-e-ed0ee05d3f2dea23b86ba18004f12811ab75c5e9_60012.jpg
Ригла,Дермакосметика,"Формагель гель 3,7% 35г",634.0,634.0,https://www.rigla.ru/product/formagel-gel-37-35g-448471,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/448471-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,"пантенол устройством 58,0 аэрозоль / инд уп / арго",212.0,212.0,https://www.rigla.ru/product/pantenol-sprey-580-aerozolind-upargo-444754,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/444754-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
